단어	정의	신세계역 성구 본문
골짜기	절벽이나 언덕이나 산 사이에 웅푹 패어 들어간 지형	창세기 14:3 "이들은 모두 싯딤 골짜기 곧 ‘소금 바다’에 군대를 모았다"
구더기	알에서 부화된 지 얼마 안 된 유충으로 썩어 가는 물질에서 발견되는 파리의 애벌레	출애굽기 16:24 "그래서 그들은 모세가 명령한 대로 그것을 아침까지 남겨 두었다. 그런데 악취가 풍기지도 않았고 구더기가 생기지도 않았다"
귀고리	장식용으로 귀에 다는 고리나 기타 장식품으로 코고리에도 쓰인 히브리어 단어와 관련된 물건	창세기 24:30 "라반은 코걸이와 누이의 손에 있는 팔찌들을 보고, 또 “그 사람이 내게 이렇게 말했습니다”라고 한 누이 리브가의 말을 듣고 그 사람을 만나러 간 것이다. 그 사람은 그때까지 샘에서 낙타들 곁에 서 있었다" (코걸이 형태)
나귀	단단한 굽을 가진 말과의 동물로 산악 지형에 적합한 짐바리 짐승	창세기 22:3 "그래서 아브라함은 아침 일찍 일어나 나귀에 안장을 얹고 아들 이삭과 함께 종 둘을 데리고서, 번제에 쓸 나무를 쪼갠 다음, 일어나 참하느님이 알려 주신 곳으로 길을 떠났다"
노루	가젤과 비슷하지만 더 작은 동물로 정결 식용으로 허용된 짐승	신명기 14:4 "여러분이 먹을 수 있는 동물은 이러합니다. 소, 양, 염소, 5 사슴, 가젤, 노루, 들염소, 영양, 들양, 산양입니다"
뇌물	받는 사람에게 영향을 미쳐 부당한 행동을 하게 하려는 목적으로 주는 대가성 금품	출애굽기 23:8 "너는 뇌물을 받아서는 안 된다. 뇌물은 눈 밝은 사람의 눈을 멀게 하고, 의로운 사람의 말을 왜곡시킬 수 있다"
담보	꾸어 준 것을 갚겠다는 보증으로 채무자가 채권자에게 제공하는 개인 재산	창세기 38:17 "그러자 유다가 말했다. “내 가축 떼에서 새끼 염소 한 마리를 보내 주겠다.” 그가 말했다. “당신이 그것을 보낼 때까지 담보물을 맡기시겠습니까?"
대리석	입자가 치밀한 결정질 석회암으로 광택이 잘 나는 건축 재료	에스더 1:6 "그곳에는 아마포와 고운 무명과 청색 천이 고운 직물과 자주색 양모로 짠 줄로 대리석 기둥의 은고리에 매여 있었으며, 금과 은으로 된 침상들이 반암과 대리석과 진주와 검은 대리석이 깔린 바닥에 놓여 있었다"
도끼	날이 있는 머리에 자루를 박아 만든 연장으로 나무나 돌을 자르고 무기로도 쓰임	신명기 19:4 "살인자가 살기 위해 그곳으로 도피할 경우에는 이렇게 해야 합니다. 그가 이웃을 쳤지만 고의성이 없고 전에 그 사람을 미워한 적이 없다면, 5 곧 이웃과 함께 나무를 하려고 숲 속으로 들어가서 나무를 베려고 도끼를 휘두르다가, 도끼날이 자루에서 빠져나가 이웃을 치는 바람에 그 사람이 죽으면, 살인자는 살기 위해 이 도시들 중 하나로 도피해야 합니다"
도둑	남의 물건을 허가 없이 고의로 취하는 사람으로 대개 밤에 몰래 훔치는 자	창세기 31:39 "들짐승에게 찢긴 짐승은 어느 것도 제가 장인께 가져가지 않고, 저 자신이 그 손실을 부담했습니다. 낮에 도둑을 맞든 밤에 도둑을 맞든, 장인께서는 저에게 물어내라고 하셨습니다"
독뱀	유연관계가 없는 몇 종의 독사를 가리키는 일반적 이름	민수기 21:6 "그러자 여호와께서 백성 가운데 독사를 보내셨는데, 그것들이 백성을 물어 많은 이스라엘 사람이 죽었다" (독사 형태)
독사	독니를 가진 독 있는 뱀으로 팔레스타인에 여러 종이 서식함	민수기 21:6 "그러자 여호와께서 백성 가운데 독사를 보내셨는데, 그것들이 백성을 물어 많은 이스라엘 사람이 죽었다"
동물	사람을 제외한 산 영혼으로 히브리어 베헤마는 네발 달린 큰 생물을 가리킴	창세기 1:24 "또 하느님께서 말씀하셨다. “땅은 생물들을 그 종류대로, 가축과 기어 다니는 동물과 땅의 들짐승을 그 종류대로 내어라.” 그러자 그대로 되었다"
루비	강옥의 변종으로 투명하고 진한 붉은색의 귀한 보석	출애굽기 28:17 "너는 물려 놓은 보석을 거기에 네 줄로 달아야 한다. 첫째 줄은 루비와 황옥과 에메랄드이다"
마비	몸의 근력이나 감각이 한 곳이나 여러 곳에서 장애가 생기는 질환	사무엘상 25:37 "아침에 나발이 술에서 깼을 때 그의 아내가 이 일을 말해 주었다. 그러자 그의 심장이 마치 죽은 사람처럼 되니 그가 돌처럼 굳어 마비되었다"
망치	물건을 두드리거나 박는 데 쓰이는 연장으로 못과 말뚝을 박거나 석재를 다듬음	사사기 4:21 "그러나 헤벨의 아내 야엘은 천막 말뚝과 망치를 손에 들고 와서, 시스라가 지쳐서 깊이 잠들어 있을 때에 살며시 가서 말뚝을 그의 관자놀이에 박았다. 말뚝을 쳐서 땅에 박자, 그가 죽었다"
멍에	짐을 매달거나 동물의 목에 얹는 나무 가로장으로 비유적으로 속박을 의미함	창세기 27:40 "너는 네 칼을 써서 살 것이며, 네 동생을 섬길 것이다. 그러나 네가 견디기 힘들어지면 그의 멍에를 네 목에서 꺾어 버릴 것이다."
메뚜기	큰 떼로 이동하는 방아깨비류 곤충으로 성서에서 재앙과 식량으로 언급됨	출애굽기 10:4 "네가 나의 백성을 보내기를 계속 거부하면, 내가 내일 너의 영토 안으로 메뚜기를 몰고 오겠다"
면도칼	털이나 수염을 깎는 도구로 드러내다를 의미하는 어근에서 유래	민수기 6:5 "나실인으로 서원한 기간 내내 면도칼을 머리에 대서는 안 된다. 여호와 앞에 따로 구별되어 있는 기간이 끝날 때까지 머리카락이 자라게 두어 계속 거룩한 상태에 있어야 한다"
