단어	정의	신세계역 성구
골짜기	절벽이나 언덕이나 산 사이에 움푹 패어 들어간 지형	시편 104:8; 여호수아 8:11
구더기	알에서 부화된 지 얼마 안 된 유충으로 썩어 가는 물질에서 발견되는 파리의 애벌레	욥기 7:5; 이사야 14:11
귀고리	장식용으로 귀에 다는 고리나 기타 장식품으로 코고리에도 쓰인 히브리어 단어와 관련된 물건	잠언 11:22; 출애굽기 32:2
나귀	단단한 굽을 가진 말과의 동물로 산악 지형에 적합한 짐바리 짐승	창세기 12:16; 창세기 22:3
노루	가젤과 비슷하지만 더 작은 동물로 정결 식용으로 허용된 짐승	신명기 14:5; 열왕기상 4:23
뇌물	받는 사람에게 영향을 미쳐 부당한 행동을 하게 하려는 목적으로 주는 대가성 금품	출애굽기 23:8; 신명기 16:19
담보	꾸어 준 것을 갚겠다는 보증으로 채무자가 채권자에게 제공하는 개인 재산	출애굽기 22:26; 신명기 24:12
대리석	입자가 치밀한 결정질 석회암으로 광택이 잘 나는 건축 재료	아가 5:15; 에스더 1:6
도끼	날이 있는 머리에 자루를 박아 만든 연장으로 나무나 돌을 자르고 무기로도 쓰임	신명기 19:5; 이사야 10:15
도둑	남의 물건을 허가 없이 고의로 취하는 사람으로 대개 밤에 몰래 훔치는 자	욥기 24:14; 마태 24:43
독뱀	유연관계가 없는 몇 종의 독사를 가리키는 일반적 이름	로마서 3:13; 시편 140:3
독사	독니를 가진 독 있는 뱀으로 팔레스타인에 여러 종이 서식함	욥기 20:16; 사도행전 28:3
동물	사람을 제외한 산 영혼으로 히브리어 베헤마는 네발 달린 큰 생물을 가리킴	창세기 1:26; 창세기 9:10
루비	강옥의 변종으로 투명하고 진한 붉은색의 귀한 보석	출애굽기 28:17; 에스겔 28:13
마비	몸의 근력이나 감각이 한 곳이나 여러 곳에서 장애가 생기는 질환	성구 없음
망치	물건을 두드리거나 박는 데 쓰이는 연장으로 못과 말뚝을 박거나 석재를 다듬음	성구 없음 (후보: 예레미야 23:29)
멍에	짐을 매달거나 동물의 목에 얹는 나무 가로장으로 비유적으로 속박을 의미함	레위기 26:13; 마태 11:29
메뚜기	큰 떼로 이동하는 방아깨비류 곤충으로 성서에서 재앙과 식량으로 언급됨	출애굽기 10:14; 마태 3:4
면도칼	털이나 수염을 깎는 도구로 드러내다를 의미하는 어근에서 유래	성구 없음 (후보: 민수기 6:5)
모래	자갈보다 작고 실트보다 굵은 입자로 바다의 경계이자 수많음의 상징	성구 없음 (후보: 창세기 22:17)
목걸이	구슬이나 보석을 줄에 꿰어 목에 거는 장식품으로 고대에 귀중품으로 여겨짐	성구 없음
